product_id,product_name,category,product_type,product_url,reference_price,reference_commission_rate,search_volume,search_growth_7d,social_mentions_7d,competitor_count,days_until_peak,seasonal_relevance
P0221,Synthetic Personal Finance Product 221,Personal Finance,membership,https://example.com/products/p0221,461.74,0.0479,27319,-12,10187,97,80,27
P0222,Synthetic Personal Finance Product 222,Personal Finance,service,https://example.com/products/p0222,35.04,0.5118,57952,-31,8466,4,21,17
P0223,Synthetic Personal Finance Product 223,Personal Finance,service,https://example.com/products/p0223,152.36,0.1349,71351,62,7921,129,25,31
P0224,Synthetic Fitness Product 224,Fitness,course,https://example.com/products/p0224,204.73,0.5309,61617,-8,12537,75,64,26
P0225,Synthetic Pet Care Product 225,Pet Care,digital_download,https://example.com/products/p0225,454.81,0.5253,144591,0,14115,83,73,47
P0226,Synthetic Education Product 226,Education,digital_download,https://example.com/products/p0226,161.28,0.5834,17825,-22,571,127,42,63
P0227,Synthetic Home Office Product 227,Home Office,service,https://example.com/products/p0227,326.84,0.3494,16690,-51,5773,79,7,74
P0228,Synthetic Gaming Product 228,Gaming,service,https://example.com/products/p0228,412.99,0.4538,139587,-43,14370,54,52,7
P0229,Synthetic Summer Gadgets Product 229,Summer Gadgets,physical,https://example.com/products/p0229,209.69,0.4856,75371,-38,5672,95,68,91
P0230,Synthetic Career Software Product 230,Career Software,membership,https://example.com/products/p0230,300.89,0.4703,114962,-34,3241,85,11,1
P0231,Synthetic Travel Product 231,Travel,software,https://example.com/products/p0231,7.7,0.4756,29962,-35,11740,143,32,13
P0232,Synthetic Education Product 232,Education,membership,https://example.com/products/p0232,471.47,0.4475,109786,13,11443,0,17,93
P0233,Synthetic Productivity Product 233,Productivity,physical,https://example.com/products/p0233,182.58,0.1132,24875,32,3150,83,49,90
P0234,Synthetic Summer Gadgets Product 234,Summer Gadgets,membership,https://example.com/products/p0234,8.02,0.3416,104797,70,14377,73,65,46
P0235,Synthetic Pet Care Product 235,Pet Care,subscription,https://example.com/products/p0235,341.44,0.2046,17784,62,656,5,29,21
P0236,Synthetic Travel Product 236,Travel,mobile_app,https://example.com/products/p0236,277.78,0.5592,123976,-7,10058,119,3,52
P0237,Synthetic Pet Care Product 237,Pet Care,digital_download,https://example.com/products/p0237,453.39,0.2472,84594,-39,4589,89,30,73
P0238,Synthetic Career Software Product 238,Career Software,course,https://example.com/products/p0238,450.89,0.417,128995,-34,10513,40,18,55
P0239,Synthetic Fitness Product 239,Fitness,service,https://example.com/products/p0239,357.99,0.0227,13024,-65,13926,130,0,74
P0240,Synthetic Home Office Product 240,Home Office,course,https://example.com/products/p0240,41.45,0.2586,2324,-17,9485,41,32,3
P0241,Synthetic Gaming Product 241,Gaming,digital_download,https://example.com/products/p0241,308.71,0.0361,12083,-66,9887,83,81,0
P0242,Synthetic Travel Product 242,Travel,physical,https://example.com/products/p0242,291.94,0.1399,126179,-14,10782,17,14,100
P0243,Synthetic Home Office Product 243,Home Office,software,https://example.com/products/p0243,389.75,0.4635,66947,35,4995,121,0,13
P0244,Synthetic Pet Care Product 244,Pet Care,mobile_app,https://example.com/products/p0244,216.35,0.3829,38142,87,7048,118,64,88
P0245,Synthetic Personal Finance Product 245,Personal Finance,mobile_app,https://example.com/products/p0245,184.34,0.3806,12348,-14,1981,51,12,0
P0246,Synthetic Beauty Product 246,Beauty,course,https://example.com/products/p0246,159.32,0.4571,111982,71,10164,135,50,26
P0247,Synthetic Education Product 247,Education,membership,https://example.com/products/p0247,316.89,0.5963,148012,38,4686,88,59,95
P0248,Synthetic Career Software Product 248,Career Software,software,https://example.com/products/p0248,410.93,0.2941,99566,-1,10842,123,83,56
P0249,Synthetic Travel Product 249,Travel,subscription,https://example.com/products/p0249,308.33,0.4596,1750,-58,12280,136,73,94
P0250,Synthetic Gaming Product 250,Gaming,digital_download,https://example.com/products/p0250,174.54,0.1227,116924,-19,13328,50,60,76
P0251,Synthetic Home Office Product 251,Home Office,physical,https://example.com/products/p0251,263.24,0.132,25148,80,2056,1,63,55
P0252,Synthetic Travel Product 252,Travel,digital_download,https://example.com/products/p0252,276.0,0.3212,62196,-53,3694,115,52,87
P0253,Synthetic Fitness Product 253,Fitness,software,https://example.com/products/p0253,100.58,0.1627,88964,-56,10662,132,5,6
P0254,Synthetic Creator Tools Product 254,Creator Tools,physical,https://example.com/products/p0254,306.93,0.1206,100634,62,8585,59,34,93
P0255,Synthetic Travel Product 255,Travel,digital_download,https://example.com/products/p0255,12.12,0.2213,143517,53,219,128,16,82
P0256,Synthetic Fitness Product 256,Fitness,membership,https://example.com/products/p0256,318.45,0.4841,570,50,10324,126,51,1
P0257,Synthetic Creator Tools Product 257,Creator Tools,subscription,https://example.com/products/p0257,177.81,0.1392,88223,-26,4427,85,50,53
P0258,Synthetic Travel Product 258,Travel,digital_download,https://example.com/products/p0258,261.35,0.2304,93051,79,1164,141,44,44
P0259,Synthetic Education Product 259,Education,mobile_app,https://example.com/products/p0259,305.37,0.3928,103930,-51,7183,25,50,70
P0260,Synthetic Summer Gadgets Product 260,Summer Gadgets,service,https://example.com/products/p0260,447.51,0.5573,103411,1,1442,70,59,96
P0261,Synthetic Gaming Product 261,Gaming,digital_download,https://example.com/products/p0261,470.79,0.3512,53661,-54,6498,32,7,1
P0262,Synthetic Travel Product 262,Travel,subscription,https://example.com/products/p0262,489.53,0.0143,53721,-44,10149,19,50,18
P0263,Synthetic Summer Gadgets Product 263,Summer Gadgets,mobile_app,https://example.com/products/p0263,371.68,0.0117,146267,57,6551,99,55,75
P0264,Synthetic Personal Finance Product 264,Personal Finance,course,https://example.com/products/p0264,244.17,0.1792,133620,-52,13769,28,48,96
P0265,Synthetic Personal Finance Product 265,Personal Finance,course,https://example.com/products/p0265,277.36,0.1569,75883,87,312,43,82,35
P0266,Synthetic Gaming Product 266,Gaming,service,https://example.com/products/p0266,302.43,0.1403,134900,-6,4389,50,14,82
P0267,Synthetic Creator Tools Product 267,Creator Tools,membership,https://example.com/products/p0267,329.14,0.1162,60239,-32,14531,125,83,52
P0268,Synthetic Education Product 268,Education,course,https://example.com/products/p0268,261.36,0.4967,47609,-20,6119,152,90,64
P0269,Synthetic Career Software Product 269,Career Software,course,https://example.com/products/p0269,175.02,0.5735,15633,-49,163,99,60,97
P0270,Synthetic Travel Product 270,Travel,mobile_app,https://example.com/products/p0270,310.59,0.5956,51209,42,2272,56,19,1
P0271,Synthetic Productivity Product 271,Productivity,service,https://example.com/products/p0271,490.86,0.3946,38684,46,4263,118,48,27
P0272,Synthetic Gaming Product 272,Gaming,course,https://example.com/products/p0272,162.61,0.3021,77149,-20,7834,70,16,66
P0273,Synthetic Home Office Product 273,Home Office,digital_download,https://example.com/products/p0273,413.52,0.176,118054,-54,13175,148,30,66
P0274,Synthetic Fitness Product 274,Fitness,digital_download,https://example.com/products/p0274,158.71,0.0236,102313,-14,4665,146,26,96
P0275,Synthetic Beauty Product 275,Beauty,physical,https://example.com/products/p0275,346.1,0.0142,11434,-46,11933,156,60,86
P0276,Synthetic Productivity Product 276,Productivity,physical,https://example.com/products/p0276,308.24,0.3597,70448,-61,5575,8,60,63
P0277,Synthetic Fitness Product 277,Fitness,service,https://example.com/products/p0277,435.07,0.1644,1300,-48,9101,76,61,95
P0278,Synthetic Beauty Product 278,Beauty,membership,https://example.com/products/p0278,291.33,0.0208,149443,19,1818,23,78,24
P0279,Synthetic Creator Tools Product 279,Creator Tools,service,https://example.com/products/p0279,321.03,0.4166,63689,16,12648,150,32,70
P0280,Synthetic Fitness Product 280,Fitness,service,https://example.com/products/p0280,328.23,0.5443,49336,87,14628,138,82,92
P0281,Synthetic Home Office Product 281,Home Office,membership,https://example.com/products/p0281,97.02,0.0985,2907,-49,10621,126,69,84
P0282,Synthetic Education Product 282,Education,physical,https://example.com/products/p0282,462.01,0.5229,110582,-58,10446,106,33,18
P0283,Synthetic Education Product 283,Education,service,https://example.com/products/p0283,73.46,0.0141,78712,77,8564,134,37,36
P0284,Synthetic Creator Tools Product 284,Creator Tools,subscription,https://example.com/products/p0284,276.68,0.1955,595,8,5332,159,39,49
P0285,Synthetic Gaming Product 285,Gaming,subscription,https://example.com/products/p0285,341.05,0.0533,36238,-5,12087,20,24,99
P0286,Synthetic Productivity Product 286,Productivity,digital_download,https://example.com/products/p0286,461.18,0.5168,80419,59,11457,30,69,94
P0287,Synthetic Travel Product 287,Travel,mobile_app,https://example.com/products/p0287,449.41,0.1827,56720,62,1659,82,65,23
P0288,Synthetic Pet Care Product 288,Pet Care,subscription,https://example.com/products/p0288,15.63,0.1508,103717,-4,2652,46,23,2
P0289,Synthetic Fitness Product 289,Fitness,membership,https://example.com/products/p0289,225.25,0.2093,134843,31,1828,65,1,50
P0290,Synthetic Pet Care Product 290,Pet Care,digital_download,https://example.com/products/p0290,289.56,0.2064,71172,-18,1005,61,6,16
P0291,Synthetic Beauty Product 291,Beauty,software,https://example.com/products/p0291,136.04,0.488,35925,61,9044,32,13,47
P0292,Synthetic Education Product 292,Education,subscription,https://example.com/products/p0292,142.19,0.3424,1704,-10,1707,141,29,8
P0293,Synthetic Education Product 293,Education,service,https://example.com/products/p0293,417.66,0.5097,31994,9,9925,1,45,13
P0294,Synthetic Home Office Product 294,Home Office,membership,https://example.com/products/p0294,208.12,0.0783,114648,63,2138,19,76,42
P0295,Synthetic Productivity Product 295,Productivity,software,https://example.com/products/p0295,383.58,0.1739,35266,13,12620,19,9,38
P0296,Synthetic Home Office Product 296,Home Office,membership,https://example.com/products/p0296,368.09,0.4259,97103,-38,10147,98,16,49
P0297,Synthetic Education Product 297,Education,subscription,https://example.com/products/p0297,263.89,0.2758,60398,82,4585,93,42,4
P0298,Synthetic Gaming Product 298,Gaming,subscription,https://example.com/products/p0298,392.83,0.0239,58864,-5,7908,102,43,77
P0299,Synthetic Creator Tools Product 299,Creator Tools,digital_download,https://example.com/products/p0299,417.94,0.0517,78360,87,10807,56,18,38
P0300,Synthetic Gaming Product 300,Gaming,course,https://example.com/products/p0300,375.79,0.183,123288,32,4801,31,89,97
P0301,Synthetic Travel Product 301,Travel,membership,https://example.com/products/p0301,76.02,0.3571,12808,34,5648,57,38,19
P0302,Synthetic Personal Finance Product 302,Personal Finance,subscription,https://example.com/products/p0302,372.98,0.1482,147025,31,1227,32,7,89
P0303,Synthetic Career Software Product 303,Career Software,physical,https://example.com/products/p0303,370.02,0.0544,28017,54,482,74,43,29
P0304,Synthetic Creator Tools Product 304,Creator Tools,service,https://example.com/products/p0304,226.93,0.0505,27706,50,12393,113,41,15
P0305,Synthetic Pet Care Product 305,Pet Care,service,https://example.com/products/p0305,403.43,0.4163,121304,49,1051,117,7,64
P0306,Synthetic Education Product 306,Education,course,https://example.com/products/p0306,183.77,0.0175,8321,-6,5534,32,46,90
P0307,Synthetic Beauty Product 307,Beauty,physical,https://example.com/products/p0307,188.37,0.0324,42155,28,5149,155,54,88
P0308,Synthetic Career Software Product 308,Career Software,digital_download,https://example.com/products/p0308,238.01,0.5739,29269,33,1957,131,38,31
P0309,Synthetic Education Product 309,Education,physical,https://example.com/products/p0309,126.86,0.5966,88302,42,7766,81,41,46
P0310,Synthetic Personal Finance Product 310,Personal Finance,course,https://example.com/products/p0310,337.2,0.5698,26652,65,2216,26,28,7
P0311,Synthetic Personal Finance Product 311,Personal Finance,mobile_app,https://example.com/products/p0311,61.34,0.2902,133493,27,9881,160,33,86
P0312,Synthetic Home Office Product 312,Home Office,software,https://example.com/products/p0312,195.91,0.5834,148145,-25,7970,92,10,66
P0313,Synthetic Education Product 313,Education,service,https://example.com/products/p0313,290.66,0.4258,109170,-59,102,64,68,43
P0314,Synthetic Education Product 314,Education,service,https://example.com/products/p0314,201.77,0.3321,35954,-49,580,139,80,3
P0315,Synthetic Pet Care Product 315,Pet Care,service,https://example.com/products/p0315,433.23,0.377,57486,42,2124,11,34,87
P0316,Synthetic Travel Product 316,Travel,mobile_app,https://example.com/products/p0316,362.67,0.559,68950,-20,7719,88,42,92
P0317,Synthetic Summer Gadgets Product 317,Summer Gadgets,digital_download,https://example.com/products/p0317,209.81,0.3079,69840,-23,6418,149,9,40
P0318,Synthetic Fitness Product 318,Fitness,software,https://example.com/products/p0318,160.15,0.5842,91821,10,8289,10,58,74
P0319,Synthetic Travel Product 319,Travel,subscription,https://example.com/products/p0319,244.51,0.0932,94858,90,11267,151,10,90
P0320,Synthetic Pet Care Product 320,Pet Care,subscription,https://example.com/products/p0320,427.19,0.1373,110199,-54,4502,76,42,28
P0321,Synthetic Fitness Product 321,Fitness,course,https://example.com/products/p0321,391.09,0.4564,145934,-11,8098,39,4,61
P0322,Synthetic Gaming Product 322,Gaming,membership,https://example.com/products/p0322,309.71,0.3835,117378,25,8269,79,25,35
P0323,Synthetic Summer Gadgets Product 323,Summer Gadgets,service,https://example.com/products/p0323,157.97,0.4444,146657,-33,10212,40,32,67
P0324,Synthetic Pet Care Product 324,Pet Care,software,https://example.com/products/p0324,110.96,0.3872,128824,37,5633,114,0,2
P0325,Synthetic Fitness Product 325,Fitness,physical,https://example.com/products/p0325,462.31,0.5569,51956,28,2878,125,5,7
P0326,Synthetic Personal Finance Product 326,Personal Finance,service,https://example.com/products/p0326,58.64,0.3766,56447,-27,13602,11,66,65
P0327,Synthetic Productivity Product 327,Productivity,membership,https://example.com/products/p0327,263.99,0.3121,106284,-16,2074,10,46,8
P0328,Synthetic Personal Finance Product 328,Personal Finance,membership,https://example.com/products/p0328,419.8,0.4349,130004,33,7851,105,57,87
P0329,Synthetic Career Software Product 329,Career Software,physical,https://example.com/products/p0329,59.37,0.0626,61908,67,5855,3,22,73
P0330,Synthetic Personal Finance Product 330,Personal Finance,software,https://example.com/products/p0330,118.67,0.5285,35281,-9,12161,108,0,42
P0331,Synthetic Productivity Product 331,Productivity,service,https://example.com/products/p0331,240.26,0.4955,104168,56,11419,67,61,92
P0332,Synthetic Creator Tools Product 332,Creator Tools,subscription,https://example.com/products/p0332,456.26,0.3964,16583,-32,13809,144,82,42
P0333,Synthetic Creator Tools Product 333,Creator Tools,service,https://example.com/products/p0333,272.85,0.3786,2299,37,12129,146,24,58
P0334,Synthetic Career Software Product 334,Career Software,software,https://example.com/products/p0334,229.09,0.2526,86345,-32,10712,105,24,7
P0335,Synthetic Beauty Product 335,Beauty,digital_download,https://example.com/products/p0335,250.75,0.118,108759,-43,5388,105,19,87
P0336,Synthetic Summer Gadgets Product 336,Summer Gadgets,mobile_app,https://example.com/products/p0336,432.9,0.0601,97573,50,13928,115,63,14
P0337,Synthetic Summer Gadgets Product 337,Summer Gadgets,subscription,https://example.com/products/p0337,396.39,0.3047,125062,-20,5481,16,12,36
P0338,Synthetic Fitness Product 338,Fitness,mobile_app,https://example.com/products/p0338,379.91,0.1016,55146,66,2550,71,57,12
P0339,Synthetic Fitness Product 339,Fitness,course,https://example.com/products/p0339,44.59,0.35,8114,46,11726,14,58,6
P0340,Synthetic Fitness Product 340,Fitness,mobile_app,https://example.com/products/p0340,27.04,0.1241,117600,12,4428,99,81,46
P0341,Synthetic Education Product 341,Education,service,https://example.com/products/p0341,426.66,0.0807,109551,31,10890,105,85,19
P0342,Synthetic Fitness Product 342,Fitness,digital_download,https://example.com/products/p0342,120.66,0.137,32615,74,1350,127,67,82
P0343,Synthetic Summer Gadgets Product 343,Summer Gadgets,mobile_app,https://example.com/products/p0343,452.53,0.3269,134667,52,7085,93,14,50
P0344,Synthetic Education Product 344,Education,subscription,https://example.com/products/p0344,8.96,0.1122,69869,-13,10264,116,39,72
P0345,Synthetic Beauty Product 345,Beauty,subscription,https://example.com/products/p0345,288.48,0.4156,86928,-28,9976,100,17,15
P0346,Synthetic Home Office Product 346,Home Office,subscription,https://example.com/products/p0346,78.52,0.4435,68993,-17,9097,68,88,54
P0347,Synthetic Beauty Product 347,Beauty,service,https://example.com/products/p0347,267.01,0.1074,64894,-39,8546,11,47,100
P0348,Synthetic Home Office Product 348,Home Office,service,https://example.com/products/p0348,430.13,0.5325,111160,-64,10493,84,79,2
P0349,Synthetic Pet Care Product 349,Pet Care,mobile_app,https://example.com/products/p0349,44.54,0.1791,63580,24,3474,20,50,99
P0350,Synthetic Summer Gadgets Product 350,Summer Gadgets,service,https://example.com/products/p0350,309.64,0.4654,68364,-63,14523,140,58,32
P0351,Synthetic Education Product 351,Education,mobile_app,https://example.com/products/p0351,463.86,0.5829,90433,-69,3158,147,43,1
P0352,Synthetic Education Product 352,Education,mobile_app,https://example.com/products/p0352,26.75,0.0924,40585,23,2928,59,67,93
P0353,Synthetic Summer Gadgets Product 353,Summer Gadgets,mobile_app,https://example.com/products/p0353,164.35,0.4505,4415,67,102,150,80,50
P0354,Synthetic Summer Gadgets Product 354,Summer Gadgets,mobile_app,https://example.com/products/p0354,469.6,0.255,43121,18,10095,83,87,38
P0355,Synthetic Fitness Product 355,Fitness,subscription,https://example.com/products/p0355,43.61,0.4013,59102,21,3139,135,79,29
P0356,Synthetic Personal Finance Product 356,Personal Finance,subscription,https://example.com/products/p0356,497.06,0.526,27226,28,11862,43,64,1
P0357,Synthetic Education Product 357,Education,subscription,https://example.com/products/p0357,223.67,0.3362,134563,12,4032,7,52,31
P0358,Synthetic Home Office Product 358,Home Office,subscription,https://example.com/products/p0358,460.73,0.2153,72508,-62,9312,117,44,39
P0359,Synthetic Beauty Product 359,Beauty,physical,https://example.com/products/p0359,252.11,0.3963,97052,23,9643,104,41,70
P0360,Synthetic Summer Gadgets Product 360,Summer Gadgets,digital_download,https://example.com/products/p0360,82.57,0.061,145218,-6,5171,113,59,31
P0361,Synthetic Career Software Product 361,Career Software,mobile_app,https://example.com/products/p0361,416.27,0.5803,108710,26,12223,2,80,59
P0362,Synthetic Personal Finance Product 362,Personal Finance,digital_download,https://example.com/products/p0362,285.49,0.4032,47187,-57,8507,88,33,57
P0363,Synthetic Education Product 363,Education,digital_download,https://example.com/products/p0363,251.15,0.1713,97884,18,1173,81,23,59
P0364,Synthetic Gaming Product 364,Gaming,digital_download,https://example.com/products/p0364,465.37,0.0609,62987,51,2339,36,27,93
P0365,Synthetic Beauty Product 365,Beauty,software,https://example.com/products/p0365,364.12,0.268,27570,-52,7491,43,83,60
P0366,Synthetic Pet Care Product 366,Pet Care,service,https://example.com/products/p0366,140.69,0.5691,127194,58,9518,23,75,71
P0367,Synthetic Personal Finance Product 367,Personal Finance,course,https://example.com/products/p0367,159.88,0.0457,42035,-13,9907,68,52,96
P0368,Synthetic Home Office Product 368,Home Office,subscription,https://example.com/products/p0368,154.85,0.5387,147940,65,9757,73,38,0
P0369,Synthetic Summer Gadgets Product 369,Summer Gadgets,membership,https://example.com/products/p0369,145.71,0.2095,102877,-18,9967,152,81,37
P0370,Synthetic Gaming Product 370,Gaming,software,https://example.com/products/p0370,292.88,0.4834,61242,47,6673,129,88,83
P0371,Synthetic Career Software Product 371,Career Software,digital_download,https://example.com/products/p0371,288.03,0.3484,88980,42,10628,31,7,81
P0372,Synthetic Pet Care Product 372,Pet Care,subscription,https://example.com/products/p0372,77.47,0.376,119923,-30,10600,54,79,36
P0373,Synthetic Summer Gadgets Product 373,Summer Gadgets,subscription,https://example.com/products/p0373,138.33,0.1064,46275,1,11852,51,72,33
P0374,Synthetic Education Product 374,Education,membership,https://example.com/products/p0374,307.52,0.4987,73608,12,11859,128,53,3
P0375,Synthetic Travel Product 375,Travel,course,https://example.com/products/p0375,47.89,0.2729,83802,-31,6403,56,36,37
P0376,Synthetic Home Office Product 376,Home Office,course,https://example.com/products/p0376,206.43,0.1692,22631,-60,8492,43,10,16
P0377,Synthetic Productivity Product 377,Productivity,mobile_app,https://example.com/products/p0377,63.62,0.5482,84168,-36,9009,101,32,32
P0378,Synthetic Home Office Product 378,Home Office,course,https://example.com/products/p0378,175.23,0.1712,60270,-11,12357,128,46,82
P0379,Synthetic Productivity Product 379,Productivity,course,https://example.com/products/p0379,178.95,0.5994,118739,-16,1478,129,25,56
P0380,Synthetic Career Software Product 380,Career Software,physical,https://example.com/products/p0380,260.66,0.4069,124193,-61,7151,69,40,62
P0381,Synthetic Home Office Product 381,Home Office,digital_download,https://example.com/products/p0381,310.52,0.4015,46066,36,6670,30,85,74
P0382,Synthetic Home Office Product 382,Home Office,mobile_app,https://example.com/products/p0382,83.31,0.0406,14580,-59,13985,82,56,65
P0383,Synthetic Home Office Product 383,Home Office,membership,https://example.com/products/p0383,186.56,0.4517,43087,-62,13037,146,32,67
P0384,Synthetic Travel Product 384,Travel,physical,https://example.com/products/p0384,367.33,0.1575,110808,69,5140,140,34,18
P0385,Synthetic Gaming Product 385,Gaming,course,https://example.com/products/p0385,106.82,0.2303,115792,-51,2979,70,41,76
P0386,Synthetic Personal Finance Product 386,Personal Finance,membership,https://example.com/products/p0386,296.94,0.4115,17672,12,5822,70,87,54
P0387,Synthetic Pet Care Product 387,Pet Care,software,https://example.com/products/p0387,255.66,0.2817,53229,76,6310,117,80,78
P0388,Synthetic Fitness Product 388,Fitness,mobile_app,https://example.com/products/p0388,105.93,0.0997,107623,-45,3549,122,20,17
P0389,Synthetic Summer Gadgets Product 389,Summer Gadgets,physical,https://example.com/products/p0389,108.12,0.5762,13500,19,14464,116,52,46
P0390,Synthetic Gaming Product 390,Gaming,subscription,https://example.com/products/p0390,140.6,0.3449,135558,26,8471,45,83,59
P0391,Synthetic Pet Care Product 391,Pet Care,physical,https://example.com/products/p0391,283.8,0.23,34069,79,1745,4,66,2
P0392,Synthetic Education Product 392,Education,mobile_app,https://example.com/products/p0392,431.56,0.1484,56208,-12,14553,138,77,42
P0393,Synthetic Career Software Product 393,Career Software,service,https://example.com/products/p0393,274.45,0.5775,65203,-29,14732,67,9,95
P0394,Synthetic Education Product 394,Education,subscription,https://example.com/products/p0394,380.62,0.3188,64593,-55,796,145,65,70
P0395,Synthetic Travel Product 395,Travel,membership,https://example.com/products/p0395,465.32,0.2174,123549,-8,12107,70,42,98
P0396,Synthetic Productivity Product 396,Productivity,membership,https://example.com/products/p0396,8.12,0.4426,74235,83,2031,59,78,34
P0397,Synthetic Education Product 397,Education,software,https://example.com/products/p0397,189.89,0.5275,83054,89,11256,51,19,85
P0398,Synthetic Education Product 398,Education,mobile_app,https://example.com/products/p0398,396.5,0.1432,131120,-47,11733,82,49,2
P0399,Synthetic Productivity Product 399,Productivity,membership,https://example.com/products/p0399,314.84,0.54,38379,-38,6701,29,36,15
P0400,Synthetic Gaming Product 400,Gaming,membership,https://example.com/products/p0400,206.16,0.5489,89890,65,7673,146,40,71
P0401,Synthetic Pet Care Product 401,Pet Care,mobile_app,https://example.com/products/p0401,162.06,0.3966,128762,68,5973,145,53,54
P0402,Synthetic Fitness Product 402,Fitness,software,https://example.com/products/p0402,327.63,0.4501,113498,78,9413,80,51,10
P0403,Synthetic Gaming Product 403,Gaming,course,https://example.com/products/p0403,383.82,0.579,18794,54,13632,39,66,27
P0404,Synthetic Career Software Product 404,Career Software,mobile_app,https://example.com/products/p0404,266.27,0.1354,25762,75,6996,113,45,80
P0405,Synthetic Education Product 405,Education,service,https://example.com/products/p0405,189.8,0.4568,99789,-67,1212,139,27,94
P0406,Synthetic Beauty Product 406,Beauty,membership,https://example.com/products/p0406,433.4,0.2473,98297,44,3016,100,29,41
P0407,Synthetic Creator Tools Product 407,Creator Tools,mobile_app,https://example.com/products/p0407,12.51,0.158,95088,81,1925,64,74,67
P0408,Synthetic Summer Gadgets Product 408,Summer Gadgets,course,https://example.com/products/p0408,30.05,0.3517,54382,-33,4614,152,26,54
P0409,Synthetic Personal Finance Product 409,Personal Finance,subscription,https://example.com/products/p0409,267.76,0.036,99649,-24,11433,128,50,67
P0410,Synthetic Education Product 410,Education,service,https://example.com/products/p0410,252.75,0.5654,140882,57,14314,6,20,62
P0411,Synthetic Productivity Product 411,Productivity,membership,https://example.com/products/p0411,177.6,0.4684,78257,48,4803,86,55,73
P0412,Synthetic Education Product 412,Education,physical,https://example.com/products/p0412,337.26,0.3959,114187,-34,11455,18,55,48
P0413,Synthetic Creator Tools Product 413,Creator Tools,course,https://example.com/products/p0413,54.0,0.2013,137276,44,10633,140,56,43
P0414,Synthetic Summer Gadgets Product 414,Summer Gadgets,membership,https://example.com/products/p0414,407.53,0.021,34377,58,13456,42,60,16
P0415,Synthetic Pet Care Product 415,Pet Care,subscription,https://example.com/products/p0415,444.57,0.5501,67638,-58,2172,134,37,10
P0416,Synthetic Beauty Product 416,Beauty,service,https://example.com/products/p0416,290.71,0.2001,20022,3,11176,59,79,100
P0417,Synthetic Fitness Product 417,Fitness,mobile_app,https://example.com/products/p0417,485.43,0.2464,138836,27,4124,153,66,38
P0418,Synthetic Personal Finance Product 418,Personal Finance,course,https://example.com/products/p0418,280.01,0.297,113980,60,13858,8,85,85
P0419,Synthetic Gaming Product 419,Gaming,digital_download,https://example.com/products/p0419,155.81,0.5247,48089,37,2494,58,56,23
P0420,Synthetic Career Software Product 420,Career Software,membership,https://example.com/products/p0420,15.69,0.1052,30677,22,1068,90,16,88
P0421,Synthetic Personal Finance Product 421,Personal Finance,membership,https://example.com/products/p0421,104.84,0.4777,139352,58,2420,59,55,57
P0422,Synthetic Creator Tools Product 422,Creator Tools,digital_download,https://example.com/products/p0422,275.04,0.5803,69540,87,8772,66,81,13
P0423,Synthetic Productivity Product 423,Productivity,digital_download,https://example.com/products/p0423,135.39,0.5613,82261,86,2249,98,70,31
P0424,Synthetic Productivity Product 424,Productivity,course,https://example.com/products/p0424,485.87,0.2365,46827,-65,14864,142,40,28
P0425,Synthetic Pet Care Product 425,Pet Care,service,https://example.com/products/p0425,149.8,0.4872,20530,0,10180,29,21,96
P0426,Synthetic Gaming Product 426,Gaming,membership,https://example.com/products/p0426,156.36,0.1934,125553,-3,4302,73,13,76
P0427,Synthetic Personal Finance Product 427,Personal Finance,mobile_app,https://example.com/products/p0427,195.73,0.1036,92463,10,11246,18,31,84
P0428,Synthetic Productivity Product 428,Productivity,membership,https://example.com/products/p0428,406.08,0.0982,97846,-14,12523,75,49,37
P0429,Synthetic Gaming Product 429,Gaming,service,https://example.com/products/p0429,143.27,0.1998,198,-62,2366,151,63,34
P0430,Synthetic Education Product 430,Education,physical,https://example.com/products/p0430,117.58,0.5246,137109,27,4175,59,78,19
P0431,Synthetic Beauty Product 431,Beauty,digital_download,https://example.com/products/p0431,176.5,0.4896,124545,29,1530,92,86,38
P0432,Synthetic Education Product 432,Education,software,https://example.com/products/p0432,15.41,0.1546,73828,36,11061,140,15,52
P0433,Synthetic Education Product 433,Education,physical,https://example.com/products/p0433,52.7,0.1068,53766,6,8382,16,20,77
P0434,Synthetic Pet Care Product 434,Pet Care,course,https://example.com/products/p0434,326.75,0.1498,82902,-40,12574,10,68,56
P0435,Synthetic Productivity Product 435,Productivity,course,https://example.com/products/p0435,61.64,0.2156,146956,-63,2437,19,83,68
P0436,Synthetic Beauty Product 436,Beauty,physical,https://example.com/products/p0436,224.59,0.2871,58904,72,13254,54,71,87
P0437,Synthetic Fitness Product 437,Fitness,service,https://example.com/products/p0437,57.9,0.2233,69985,-19,14301,154,34,3
P0438,Synthetic Pet Care Product 438,Pet Care,digital_download,https://example.com/products/p0438,490.07,0.379,50479,21,2055,76,75,98
P0439,Synthetic Gaming Product 439,Gaming,software,https://example.com/products/p0439,113.3,0.3549,23420,32,13362,33,79,29
P0440,Synthetic Fitness Product 440,Fitness,subscription,https://example.com/products/p0440,393.5,0.4728,92618,25,622,56,39,87
P0441,Synthetic Beauty Product 441,Beauty,subscription,https://example.com/products/p0441,6.31,0.3365,105856,2,11827,146,10,73
P0442,Synthetic Fitness Product 442,Fitness,physical,https://example.com/products/p0442,405.5,0.2321,79894,62,4627,96,86,6
P0443,Synthetic Gaming Product 443,Gaming,software,https://example.com/products/p0443,242.88,0.4602,124378,20,10750,14,22,72
